dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.4471561540053367,0.5506688589132418,-7.600902459542082,11.002099841204238,41,True,,0.8710662379758991,-1.4747572429707874,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.08760648233211595,0.1981960091293367,-7.600902459542082,11.002099841204238,38,True,,0.8543525865924031,-1.479640733114808,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,11.130815490059645,3.4657359027997265,0.4864114951773775,0.5919610317341013,-7.600902459542082,11.002099841204238,23,True,,0.8302544707905914,-1.4787837516893094,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.04082078335313983,0.14864483014431784,-7.600902459542082,11.002099841204238,29,True,,0.8408442407072229,-1.51916187623767,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.19361959971840723,0.2871343737362148,-7.600902459542082,11.002099841204238,29,True,,0.8599321644822933,-1.4602227743554896,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4385438111804037,0.5492273782910392,-7.600902459542082,11.002099841204238,39,True,,0.8651262254191826,-1.4726502368816226,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.4580542100882097,0.5393344227660188,-7.600902459542082,11.002099841204238,40,True,,0.8359214884386834,-1.4783769066998727,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.02620764151423827,0.12995901026579684,-7.600902459542082,11.002099841204238,29,True,,0.850656029094271,-1.4876223796283812,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.18701053338957557,0.2895979418725146,-7.600902459542082,11.002099841204238,29,True,,0.8376881158194105,-1.475792042603536,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,13.453992476373477,3.4657359027997265,0.24953966663904634,0.34878955761371505,-7.600902459542082,11.002099841204238,10,True,,0.9285192957392541,-1.4938838176773463,resnet_mini,"[2, 2, 2]",proj_block
